%--------------------------------------------------- 
% Timings: Fri Dec  7 09:43:37 2012
%Client Output Timings
% Column IDS:
%     1: cycle
%     2: ranks
%     3: total_blocks
%     4: allocated_blocks
%     5: active_blocks
%     6: cth
%     7: viz
%     8: viz_sync_md
%     9: viz_sync_data
%    10: viz_rpc
%    11: viz_wait
%--------------------------------------------------- 
cycle,	 ranks,	 total_blocks,	 allocated_blocks,	 active_blocks,	 cth,	 viz,	 viz_sync_md,	 viz_sync_data,	 viz_rpc,	 viz_wait
0.00000e+00,	9.60000e+01,	4.91520e+04,	3.30940e+04,	3.00800e+04,	0.00000e+00,	1.55981e+01,	5.30936e+00,	9.99596e+00,	1.69778e-03,	2.91055e-01
1.00000e+01,	9.60000e+01,	4.91520e+04,	3.30940e+04,	3.00800e+04,	9.47553e+01,	1.05689e+01,	5.31862e-02,	1.02330e+01,	1.69802e-03,	2.81021e-01
2.00000e+01,	9.60000e+01,	4.91520e+04,	3.30940e+04,	3.00800e+04,	9.34842e+01,	1.07311e+01,	5.79550e-02,	1.03700e+01,	1.70684e-03,	3.01424e-01
3.00000e+01,	9.60000e+01,	4.91520e+04,	3.30940e+04,	3.00800e+04,	9.34701e+01,	1.05881e+01,	5.77948e-02,	1.02129e+01,	1.74689e-03,	3.15569e-01
4.00000e+01,	9.60000e+01,	4.91520e+04,	3.30940e+04,	3.00840e+04,	9.33398e+01,	1.06451e+01,	6.52308e-02,	1.02715e+01,	1.68490e-03,	3.06738e-01
5.00000e+01,	9.60000e+01,	4.91520e+04,	3.30940e+04,	3.00850e+04,	9.33248e+01,	1.07426e+01,	5.82261e-02,	1.03984e+01,	1.68896e-03,	2.84308e-01
6.00000e+01,	9.60000e+01,	4.91520e+04,	3.30940e+04,	3.00870e+04,	9.33829e+01,	1.06015e+01,	6.35350e-02,	1.02320e+01,	1.70207e-03,	3.04236e-01
7.00000e+01,	9.60000e+01,	4.91520e+04,	3.30660e+04,	3.00810e+04,	9.58076e+01,	1.05961e+01,	5.99082e-02,	1.02543e+01,	1.72496e-03,	2.80181e-01
8.00000e+01,	9.60000e+01,	4.91520e+04,	3.30450e+04,	3.00640e+04,	9.46175e+01,	1.06147e+01,	5.99370e-02,	1.02834e+01,	1.69802e-03,	2.69663e-01
9.00000e+01,	9.60000e+01,	4.91520e+04,	3.30450e+04,	3.00760e+04,	9.35765e+01,	1.05400e+01,	6.04579e-02,	1.02186e+01,	1.69897e-03,	2.59211e-01
1.00000e+02,	9.60000e+01,	4.91520e+04,	3.30450e+04,	3.00760e+04,	9.37501e+01,	1.05926e+01,	5.76382e-02,	1.02421e+01,	1.70398e-03,	2.91068e-01
1.10000e+02,	9.60000e+01,	4.91520e+04,	3.30450e+04,	3.00760e+04,	9.37488e+01,	1.07518e+01,	5.69711e-02,	1.03989e+01,	1.69992e-03,	2.94185e-01
1.20000e+02,	9.60000e+01,	4.91520e+04,	3.30450e+04,	3.00770e+04,	9.39536e+01,	1.07478e+01,	5.80039e-02,	1.03783e+01,	1.69492e-03,	3.09848e-01
1.30000e+02,	9.60000e+01,	4.91520e+04,	3.30450e+04,	3.00770e+04,	9.37978e+01,	1.07283e+01,	5.80740e-02,	1.03870e+01,	1.69396e-03,	2.81501e-01
1.40000e+02,	9.60000e+01,	4.91520e+04,	3.30450e+04,	3.00800e+04,	9.41132e+01,	1.07476e+01,	5.83479e-02,	1.03931e+01,	1.69182e-03,	2.94496e-01
1.50000e+02,	9.60000e+01,	4.91520e+04,	3.30450e+04,	3.00820e+04,	9.43147e+01,	1.06906e+01,	6.20520e-02,	1.03361e+01,	1.70898e-03,	2.90751e-01
1.60000e+02,	9.60000e+01,	4.91520e+04,	3.30380e+04,	3.00790e+04,	9.52409e+01,	1.07604e+01,	6.42362e-02,	1.04057e+01,	1.69182e-03,	2.88754e-01
1.70000e+02,	9.60000e+01,	4.91520e+04,	3.30380e+04,	3.00810e+04,	9.50150e+01,	1.05262e+01,	5.70731e-02,	1.01903e+01,	1.69992e-03,	2.77075e-01
1.80000e+02,	9.60000e+01,	4.91520e+04,	3.30380e+04,	3.00850e+04,	9.55181e+01,	1.07033e+01,	6.19571e-02,	1.03562e+01,	1.69706e-03,	2.83477e-01
1.90000e+02,	9.60000e+01,	4.91520e+04,	3.30380e+04,	3.00870e+04,	9.56989e+01,	1.04750e+01,	6.04632e-02,	1.01191e+01,	1.69396e-03,	2.93770e-01
2.00000e+02,	9.60000e+01,	4.91520e+04,	3.30310e+04,	3.00930e+04,	9.72688e+01,	1.04146e+01,	5.81090e-02,	1.03533e+01,	1.69802e-03,	1.42312e-03
2.10000e+02,	9.60000e+01,	4.91520e+04,	3.30240e+04,	3.00870e+04,	9.80759e+01,	1.04202e+01,	5.85561e-02,	1.03584e+01,	1.69301e-03,	1.52898e-03
2.20000e+02,	9.60000e+01,	4.91520e+04,	3.30100e+04,	3.00740e+04,	9.83001e+01,	1.03893e+01,	6.24850e-02,	1.03235e+01,	1.70183e-03,	1.57905e-03
2.30000e+02,	9.60000e+01,	4.91520e+04,	3.30100e+04,	3.00760e+04,	9.80442e+01,	1.02252e+01,	5.74739e-02,	1.01645e+01,	1.69611e-03,	1.51515e-03
2.40000e+02,	9.60000e+01,	4.91520e+04,	3.30100e+04,	3.00760e+04,	9.85223e+01,	1.03262e+01,	5.92911e-02,	1.02636e+01,	1.70708e-03,	1.56498e-03
2.50000e+02,	9.60000e+01,	4.91520e+04,	3.30100e+04,	3.00840e+04,	9.89617e+01,	1.03524e+01,	5.99489e-02,	1.02892e+01,	1.68490e-03,	1.58095e-03
2.60000e+02,	9.60000e+01,	4.91520e+04,	3.29960e+04,	3.00700e+04,	9.95986e+01,	1.03255e+01,	6.06880e-02,	1.02615e+01,	1.70612e-03,	1.55091e-03
