>>>>  amr_in-situ-opt/pipe-5-01024/extracted_timings-e653628.csv 
%  ./pipe-5-01024   ./pipe-5-01024/extracted_timings-e653628.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  90.33432676 ,  11.442097 ,  276.024288 ,  67.2746928209223 
% PVSPY_VIZ_TIMINGS ,  1.29922816 ,  0.897015 ,  1.953687 ,  0.286271337428882 
% -------------------------------------------------------------------
"cycle","cth","viz"
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  68.95206998 ,  66.669044 ,  80.693803 ,  2.97713402361833 
% PVSPY_VIZ_TIMINGS ,  5.70506482 ,  5.642116 ,  5.9917 ,  0.0709056131529768 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,66.755696,5.716711
20,66.686919,5.726252
30,66.785611,5.717726
40,66.669044,5.723429
50,66.704544,5.731539
60,66.761259,5.725579
70,66.764704,5.735972
80,66.771134,5.717099
90,66.863297,5.72562
100,66.7445,5.710627
110,66.738373,5.714279
120,66.858342,5.710844
130,66.904903,5.720362
140,69.475003,5.642116
150,67.427777,5.653422
160,66.789872,5.679701
170,66.796023,5.669674
180,66.975693,5.699795
190,66.756565,5.707805
200,66.778773,5.678902
210,66.977954,5.701096
220,66.850213,5.679891
230,67.031084,5.644528
240,67.963288,5.643894
250,67.992392,5.650099
260,68.241543,5.689036
270,68.067301,5.668984
280,67.97594,5.658569
290,68.750416,5.647667
300,68.68766,5.649849
310,69.164495,5.650144
320,69.116737,5.693398
330,69.935059,5.678445
340,68.919942,5.654995
350,69.503151,5.659995
360,69.425965,5.706811
370,68.946397,5.711101
380,69.705134,5.657834
390,70.476871,5.690864
400,69.87153,5.682906
410,70.952189,5.695842
420,70.308098,5.701941
430,69.775661,5.681671
440,71.048628,5.655074
450,71.64074,5.697126
460,71.699691,5.648631
470,75.874985,5.786274
480,80.693803,5.913802
490,76.516502,5.95362
500,76.482098,5.9917
<<<< 
>>>>  amr_in-situ-opt/pipe-6-02048/extracted_timings-e653658.csv 
%  ./pipe-6-02048   ./pipe-6-02048/extracted_timings-e653658.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  38.2388631 ,  35.967754 ,  49.124587 ,  2.80605905263525 
% PVSPY_VIZ_TIMINGS ,  3.8423159 ,  3.756569 ,  4.129963 ,  0.0762141123940325 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,36.12428,3.846111
20,36.143344,3.826206
30,36.231625,3.83984
40,36.101788,3.852048
50,36.269856,3.818031
60,36.403151,3.849609
70,36.435942,3.811512
80,36.390886,3.819717
90,36.428794,3.841137
